"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HOUSECOST","REAL","IDX2015","A","1970",26.4392553563533,
"AUS","HOUSECOST","REAL","IDX2015","A","1971",27.558690094461,
"AUS","HOUSECOST","REAL","IDX2015","A","1972",28.9524272251336,
"AUS","HOUSECOST","REAL","IDX2015","A","1973",32.0857152339823,
"AUS","HOUSECOST","REAL","IDX2015","A","1974",34.0642604221994,
"AUS","HOUSECOST","REAL","IDX2015","A","1975",32.2420985825438,
"AUS","HOUSECOST","REAL","IDX2015","A","1976",31.5201808775809,
"AUS","HOUSECOST","REAL","IDX2015","A","1977",30.9163697434503,
"AUS","HOUSECOST","REAL","IDX2015","A","1978",29.9787133721301,
"AUS","HOUSECOST","REAL","IDX2015","A","1979",30.9505855192731,
"AUS","HOUSECOST","REAL","IDX2015","A","1980",31.7105589029886,
"AUS","HOUSECOST","REAL","IDX2015","A","1981",33.4218845333165,
"AUS","HOUSECOST","REAL","IDX2015","A","1982",31.3815922009871,
"AUS","HOUSECOST","REAL","IDX2015","A","1983",30.3499596922506,
"AUS","HOUSECOST","REAL","IDX2015","A","1984",31.8161137682341,
"AUS","HOUSECOST","REAL","IDX2015","A","1985",32.8796858114296,
"AUS","HOUSECOST","REAL","IDX2015","A","1986",32.5242516422045,
"AUS","HOUSECOST","REAL","IDX2015","A","1987",31.9125569450082,
"AUS","HOUSECOST","REAL","IDX2015","A","1988",36.5306485199625,
"AUS","HOUSECOST","REAL","IDX2015","A","1989",42.8130118905898,
"AUS","HOUSECOST","REAL","IDX2015","A","1990",40.8295384353447,
"AUS","HOUSECOST","REAL","IDX2015","A","1991",40.377018402309,
"AUS","HOUSECOST","REAL","IDX2015","A","1992",40.2332965302001,
"AUS","HOUSECOST","REAL","IDX2015","A","1993",40.4325017559211,
"AUS","HOUSECOST","REAL","IDX2015","A","1994",41.2243937236623,
"AUS","HOUSECOST","REAL","IDX2015","A","1995",40.5902315785065,
"AUS","HOUSECOST","REAL","IDX2015","A","1996",40.1101692105286,
"AUS","HOUSECOST","REAL","IDX2015","A","1997",41.1493206706404,
"AUS","HOUSECOST","REAL","IDX2015","A","1998",43.5485304086571,
"AUS","HOUSECOST","REAL","IDX2015","A","1999",46.166254106112,
"AUS","HOUSECOST","REAL","IDX2015","A","2000",48.3495924548933,
"AUS","HOUSECOST","REAL","IDX2015","A","2001",51.9738298993957,
"AUS","HOUSECOST","REAL","IDX2015","A","2002",60.0739809181063,
"AUS","HOUSECOST","REAL","IDX2015","A","2003",69.459960784732,
"AUS","HOUSECOST","REAL","IDX2015","A","2004",72.7201351796117,
"AUS","HOUSECOST","REAL","IDX2015","A","2005",72.4472802531732,
"AUS","HOUSECOST","REAL","IDX2015","A","2006",74.7803577958115,
"AUS","HOUSECOST","REAL","IDX2015","A","2007",80.1295552567131,
"AUS","HOUSECOST","REAL","IDX2015","A","2008",80.6498280063842,
"AUS","HOUSECOST","REAL","IDX2015","A","2009",81.783916408097,
"AUS","HOUSECOST","REAL","IDX2015","A","2010",89.3906681960928,
"AUS","HOUSECOST","REAL","IDX2015","A","2011",85.507048716056,
"AUS","HOUSECOST","REAL","IDX2015","A","2012",83.29844107063,
"AUS","HOUSECOST","REAL","IDX2015","A","2013",86.8038121853739,
"AUS","HOUSECOST","REAL","IDX2015","A","2014",92.9698915478143,
"AUS","HOUSECOST","REAL","IDX2015","A","2015",100,
"AUS","HOUSECOST","REAL","IDX2015","A","2016",104.601162758867,
"AUS","HOUSECOST","REAL","IDX2015","A","2017",111.930325034803,
"AUS","HOUSECOST","REAL","IDX2015","A","2018",108.578844517642,
"AUS","HOUSECOST","REAL","IDX2015","A","2019",102.334342689631,
"AUS","HOUSECOST","REAL","IDX2015","A","2020",106.795990148077,
"AUS","HOUSECOST","REAL","IDX2015","A","2021",123.491976470983,
"AUT","HOUSECOST","REAL","IDX2015","A","2000",77.9918314477112,
"AUT","HOUSECOST","REAL","IDX2015","A","2001",76.8268104937985,
"AUT","HOUSECOST","REAL","IDX2015","A","2002",76.4844972514468,
"AUT","HOUSECOST","REAL","IDX2015","A","2003",75.5286994708023,
"AUT","HOUSECOST","REAL","IDX2015","A","2004",72.8326262093036,
"AUT","HOUSECOST","REAL","IDX2015","A","2005",74.6597530740399,
"AUT","HOUSECOST","REAL","IDX2015","A","2006",76.1298357360936,
"AUT","HOUSECOST","REAL","IDX2015","A","2007",77.7621467599877,
"AUT","HOUSECOST","REAL","IDX2015","A","2008",76.9825635871051,
"AUT","HOUSECOST","REAL","IDX2015","A","2009",79.7202119129113,
"AUT","HOUSECOST","REAL","IDX2015","A","2010",85.6948088982984,
"AUT","HOUSECOST","REAL","IDX2015","A","2011",88.2604153711301,
"AUT","HOUSECOST","REAL","IDX2015","A","2012",92.5406651826075,
"AUT","HOUSECOST","REAL","IDX2015","A","2013",95.3334112695271,
"AUT","HOUSECOST","REAL","IDX2015","A","2014",96.7231577144671,
"AUT","HOUSECOST","REAL","IDX2015","A","2015",100,
"AUT","HOUSECOST","REAL","IDX2015","A","2016",106.985490530752,
"AUT","HOUSECOST","REAL","IDX2015","A","2017",110.679183207613,
"AUT","HOUSECOST","REAL","IDX2015","A","2018",113.568081122457,
"AUT","HOUSECOST","REAL","IDX2015","A","2019",118.1232693861,
"AUT","HOUSECOST","REAL","IDX2015","A","2020",125.480552777509,
"AUT","HOUSECOST","REAL","IDX2015","A","2021",137.796610556941,
"BEL","HOUSECOST","REAL","IDX2015","A","1970",37.6995310029509,
"BEL","HOUSECOST","REAL","IDX2015","A","1971",35.5198848555384,
"BEL","HOUSECOST","REAL","IDX2015","A","1972",36.5781611274054,
"BEL","HOUSECOST","REAL","IDX2015","A","1973",39.4033997379675,
"BEL","HOUSECOST","REAL","IDX2015","A","1974",40.1827394702856,
"BEL","HOUSECOST","REAL","IDX2015","A","1975",41.2678711424888,
"BEL","HOUSECOST","REAL","IDX2015","A","1976",46.3799222476754,
"BEL","HOUSECOST","REAL","IDX2015","A","1977",50.3913000455703,
"BEL","HOUSECOST","REAL","IDX2015","A","1978",53.9908022286027,
"BEL","HOUSECOST","REAL","IDX2015","A","1979",56.3600295450401,
"BEL","HOUSECOST","REAL","IDX2015","A","1980",51.3252098400534,
"BEL","HOUSECOST","REAL","IDX2015","A","1981",45.1866699299665,
"BEL","HOUSECOST","REAL","IDX2015","A","1982",40.6143660927239,
"BEL","HOUSECOST","REAL","IDX2015","A","1983",37.3182540502754,
"BEL","HOUSECOST","REAL","IDX2015","A","1984",36.0588239665886,
"BEL","HOUSECOST","REAL","IDX2015","A","1985",34.8519787120531,
"BEL","HOUSECOST","REAL","IDX2015","A","1986",36.3420607915966,
"BEL","HOUSECOST","REAL","IDX2015","A","1987",38.0360649834222,
"BEL","HOUSECOST","REAL","IDX2015","A","1988",40.6211598371695,
"BEL","HOUSECOST","REAL","IDX2015","A","1989",44.5481920274951,
"BEL","HOUSECOST","REAL","IDX2015","A","1990",47.9603871670029,
"BEL","HOUSECOST","REAL","IDX2015","A","1991",48.6314270984581,
"BEL","HOUSECOST","REAL","IDX2015","A","1992",50.9366654380581,
"BEL","HOUSECOST","REAL","IDX2015","A","1993",52.3110509464892,
"BEL","HOUSECOST","REAL","IDX2015","A","1994",54.4340421014836,
"BEL","HOUSECOST","REAL","IDX2015","A","1995",56.0289942753226,
"BEL","HOUSECOST","REAL","IDX2015","A","1996",56.885310593264,
"BEL","HOUSECOST","REAL","IDX2015","A","1997",57.4315303924199,
"BEL","HOUSECOST","REAL","IDX2015","A","1998",60.3988781680274,
