country;Year;UD
Argentina;2017;
Argentina;2016;
Argentina;2015;
Argentina;2014;31.89699233
Argentina;2013;30.43495667
Argentina;2012;29.99753283
Argentina;2011;31.81780195
Argentina;2010;30.14027414
Argentina;2009;31.63118235
Argentina;2008;30.6871118
Argentina;2007;
Argentina;2006;
Argentina;2005;37.02781495
Argentina;2004;
Argentina;2003;
Argentina;2002;
Argentina;2001;
Argentina;2000;31.71260152
Argentina;1999;
Argentina;1998;
Argentina;1997;40.72075741
Argentina;1996;
Argentina;1995;
Argentina;1994;
Argentina;1993;45.5
Argentina;1992;
Argentina;1991;
Argentina;1990;
Argentina;1989;
Argentina;1988;
Argentina;1987;
Argentina;1986;44.08108108
Argentina;1985;
Argentina;1984;
Argentina;1983;
Argentina;1982;41
Argentina;1981;
Argentina;1980;42
Argentina;1979;42
Argentina;1978;
Argentina;1977;
Argentina;1976;
Argentina;1975;
Argentina;1974;43
Argentina;1973;43
Argentina;1972;
Argentina;1971;
Argentina;1970;
Argentina;1969;
Argentina;1968;
Argentina;1967;
Argentina;1966;
Argentina;1965;36
Argentina;1964;
Argentina;1963;
Argentina;1962;40
Argentina;1961;
Argentina;1960;
Australia;2017;15
Australia;2016;
Australia;2015;
Australia;2014;
Australia;2013;17.06446244
Australia;2012;
Australia;2011;
Australia;2010;
Australia;2009;
Australia;2008;18.54417856
Australia;2007;
Australia;2006;
Australia;2005;
Australia;2004;
Australia;2003;23.15365525
Australia;2002;
Australia;2001;
Australia;2000;24.83061151
Australia;1999;25.21205642
Australia;1998;27.85240314
Australia;1997;29.53774227
Australia;1996;30.98341752
Australia;1995;31.38259921
Australia;1994;33.7840752
Australia;1993;37.72140882
Australia;1992;39.16458626
Australia;1991;41.9990381
Australia;1990;41.31773624
Australia;1989;41.42173125
Australia;1988;42.78724497
Australia;1987;44.41653543
Australia;1986;45.44134314
Australia;1985;46.13356675
Australia;1984;46.39254518
Australia;1983;47.32273447
Australia;1982;49.3651205
Australia;1981;49.05454209
Australia;1980;49.63658791
Australia;1979;49.58738953
Australia;1978;49.22977041
Australia;1977;49.05593019
Australia;1976;49.46821271
Australia;1975;50.0639872
Australia;1974;48.80023876
Australia;1973;47.2343406
Australia;1972;46.33092037
Australia;1971;45.38865546
Australia;1970;44.15358142
Australia;1969;44.37794217
Australia;1968;44.78983834
Australia;1967;45.02021403
Australia;1966;45.83517292
Australia;1965;47.8863461
Australia;1964;48.19296375
Australia;1963;49.16341327
Australia;1962;49.52106174
Australia;1961;49.47181009
Australia;1960;50.17292785
Austria;2017;26.66972813
Austria;2016;26.92521351
Austria;2015;27.37408853
Austria;2014;27.73215235
Austria;2013;27.76734572
Austria;2012;27.97462649
Austria;2011;28.31767134
Austria;2010;28.87639481
Austria;2009;29.33576026
Austria;2008;29.60472679
Austria;2007;30.41042428
Austria;2006;31.55311986
Austria;2005;33.78845773
Austria;2004;34.8025699
Austria;2003;34.60352306
Austria;2002;36.04666444
Austria;2001;36.23192301
Austria;2000;36.9373673
Austria;1999;37.88266805
Austria;1998;38.35694772
Austria;1997;38.8973678
Austria;1996;40.12163059
Austria;1995;41.08525747
Austria;1994;41.50196539
Austria;1993;44.0377377
Austria;1992;44.52232136
Austria;1991;45.50651993
Austria;1990;46.83775449
Austria;1989;48.0000349
Austria;1988;49.07564011
Austria;1987;50.10741007
Austria;1986;50.90526505
Austria;1985;51.31436834
Austria;1984;51.98281293
Austria;1983;52.02263875
Austria;1982;52.06091829
Austria;1981;51.85266166
Austria;1980;51.65500089
Austria;1979;51.45642594
Austria;1978;51.53890448
Austria;1977;51.72371923
Austria;1976;52.35236857
Austria;1975;52.55586907
Austria;1974;52.41784038
Austria;1973;52.79434413
Austria;1972;54.30632811
Austria;1971;55.2579215
Austria;1970;56.68954412
Austria;1969;57.54228729
Austria;1968;58.04934203
Austria;1967;57.65616046
Austria;1966;58.29152685
Austria;1965;58.55719992
Austria;1964;58.95779001
Austria;1963;59.34346154
Austria;1962;58.98721129
Austria;1961;59.58577586
Austria;1960;60.07359649
Belgium;2017;
Belgium;2016;52.84423701
Belgium;2015;54.23404507
Belgium;2014;53.81960013
Belgium;2013;55.14801519
Belgium;2012;55.0488326
Belgium;2011;55.11168663
Belgium;2010;53.83723807
Belgium;2009;54.91200935
Belgium;2008;54.48818898
Belgium;2007;54.6839381
Belgium;2006;54.86869915
Belgium;2005;53.701562
Belgium;2004;54.02563447
Belgium;2003;54.15871915
Belgium;2002;55.57048345
Belgium;2001;56.3617734
Belgium;2000;56.20024239
Belgium;1999;54.27051581
Belgium;1998;55.13149455
Belgium;1997;55.57913986
Belgium;1996;56.02425521
Belgium;1995;55.71944711
Belgium;1994;54.64937496
Belgium;1993;54.9758293
Belgium;1992;54.32708128
Belgium;1991;54.34283841
Belgium;1990;53.94952475
Belgium;1989;52.8452579
Belgium;1988;50.93062606
Belgium;1987;51.63174167
Belgium;1986;51.53395381
Belgium;1985;52.41068332
Belgium;1984;51.97070108
Belgium;1983;51.89301841
Belgium;1982;52.12038304
Belgium;1981;53.36021505
Belgium;1980;54.11340544
Belgium;1979;53.45245902
Belgium;1978;53.41277723
Belgium;1977;54.34667549
Belgium;1976;53.4212261
Belgium;1975;51.86351706
